line1,line2,line3,source
one hundred views,of the sunrise -,appartment block,tempslibres
doves,on the TV antenna,war on TV,tempslibres
the red maple-,striptease,in the driveway,tempslibres
pumpkin moon:,tai chi movements time,the eclipse photos,tempslibres
frost,on the pumpkin:,lunar eclipse,tempslibres
All Saints Day -,in the field only small,pumpkins are left,tempslibres
all hallows eve---,stars paint the,cemetery ground,tempslibres
all saints day---,spent candles,in the cemetery,tempslibres
dark clouds---,a student drawing,with charcoal,tempslibres
typhoon passed--,one watering can,in the sandbox,tempslibres
typhoon passed--,comes the,local circus,tempslibres
red dragonflies,gather around the,blind person,tempslibres
letter from overseas,a call from southward geese,penetrates the thicket,tempslibres
indian summer,the neighbor's daughter sunbathes,beside their empty pool,tempslibres
scent of roses --,counting the stars,one by one,tempslibres
eating rice---,how many stars are,in the sky ?,tempslibres
falling leaves---,a trail of clothing,leads to the bed,tempslibres
"biting his nails,",a little boy watches,the outgoing tide,tempslibres
cold night---,my reflection,sipping coffee,tempslibres
November moon,the last ball of cheese,in the fridge,tempslibres
the Thanksgiving meal -,after eating the talk,slows down,tempslibres
around where the,steppingstone ends off,autumn gone,tempslibres
dawn --,the maple's colors,spread through the fog,tempslibres
geriatric ward--,the table groans,when they fold it up,tempslibres
watching,the lunar eclipse,a dead rose,tempslibres
moon viewing---,warming my hands,with a cup of coffee,tempslibres
Halloween night,ghosts and goblins,watch the rain,tempslibres
burning leaves --,Kerry concedes,the election,tempslibres
downpour -,the pumpkin's smile,goes out,tempslibres
indian summer,the viagra stock,deflates,tempslibres
an old temple,amongst cedar trees,too many leaves fallen...,tempslibres
from an old temple,to an old temple,autumn wind,tempslibres
hundreds of,gentians blooming--,class reunion,tempslibres
a new day --,the priest's robes,fill with snow,tempslibres
late harvester --,sickle moon in the sky,over the mature corn,tempslibres
silent phone,only the ring,from his teacup,tempslibres
the teacup,as empty as,my evening,tempslibres
a teacup,to fill,my afternoon,tempslibres
my day,measured out,in teaspoons,tempslibres
discarding,the tea leaves--,distant thunder,tempslibres
moonlight,baby's cheek,at breast,tempslibres
cold night,the clink of bottles,in a grocery cart,tempslibres
contemplating,nightfall---,the stone buddha,tempslibres
the offering,in front of the stone buddha,eaten by cats,tempslibres
"between two rivers,",the echo of,his mallet,tempslibres
sunday afternoon---,a steam train,pushes back the fog,tempslibres
winter clouds,seem to move slower too,in the cold night,tempslibres
it happened,just after the full moon,snow,tempslibres
long-distance train,men on the platform,talk on their mobiles,tempslibres
two minutes silence,a cell phone keeps ringing,Nehru smiles from his frame,tempslibres
Venus,a faint glow,from the refinery,tempslibres
predawn,a grey dove outside,my window,tempslibres
solstice,a shaft of sunlight,through rock,tempslibres
rainburst--,thoughts of you,fading,tempslibres
desert wind,the potter's fingerprints,on an ancient shard,tempslibres
another test,another doctor visit,long winter nights,tempslibres
arctic air,soothes the desert heat . . .,blended whiskey,tempslibres
December dusk -,a solitary pine tree,all lit up,tempslibres
christmas services,a cellular phone rings out,handel's messiah,tempslibres
dried wheat grass---,a bleached blond,combing her hair,tempslibres
no stars,in the sky tonight,hungry carp,tempslibres
breathless --,camellias falling,one by one,tempslibres
in the dry grass,frost appears,on the fallen pears,tempslibres
slate skys,chalk mark outlines,on the sidewalk,tempslibres
autumn,along the highway,buzzards wait,tempslibres
together,we watch the eclipse,far apart,tempslibres
last leaves,shaking on a branch,late migrators,tempslibres
empty sky,she turns love letters,into wings,tempslibres
a butterfly,hovers above me,friend's funeral,tempslibres
windstorm,the berry stains,on the path,tempslibres
Remembrance Day-,even the traffic,pauses for 2 minutes,tempslibres
21-gun salute-,mortar fire echoes,in his eyes,tempslibres
dignified march-,veterans and peacekeepers,pass the applause,tempslibres
 bare trees,in patches of fog,from here,tempslibres
wild fires,in the mist,the ashes,tempslibres
growing darkness,gleam of setting sun,on Chinese Lantern,tempslibres
rain scented air,a thousand frogs,croaking,tempslibres
grey sky,the cluster of white breaks up,into egrets,tempslibres
night traffic,the silent lake,seems much bigger,tempslibres
little pawprints,in the concrete,from the lost kitten,tempslibres
Danube dripping,from a housewife's bag,the tail of a carp,tempslibres
false dawn,sometimes i still,think of home,tempslibres
first frost -,a twirl of yellow leaves,as the bus passes,tempslibres
the same moon,shines on us both --,these cold sheets,tempslibres
sodium light -,a darker world beneath,the puddles,tempslibres
lockerbie -,the long walk from graveyard,into town,tempslibres
silbury hill -,my wife pregnant with our,first child,tempslibres
north winds ,snow flakes and,the smell of smoke,tempslibres
burning leaves,this foggy evening---,two kinds of smoke,tempslibres
stoplight,each of us tapping,to our own beat,tempslibres
laundry encounter,a plastic shark,falls out of a bath towel,tempslibres
'seven samurai' *,half the village burning,while my son makes popcorn,tempslibres
hard winter ground -,we argue about,the constellations,tempslibres
road accident,a crowd of teddies stares out,from the shop window,tempslibres
deep night,one cricket chirps,anyhow,tempslibres
ants transport a moth,traffic noise penetrates,the bamboo grove,tempslibres
autumn breakfast,the last mosquito's hover,over my campfire,tempslibres
passing monarchs --,a few leaves flutter,to the road,tempslibres
waiting for winter---,eating rice balls,under a full moon,tempslibres
"scooping steamed rice,",the laborer,at sundown,tempslibres
windswept afternoon---,tea scent,on my tongue,tempslibres
grandfather's grave,just another stone,for the dragonfly,tempslibres
a sleepless hour,first the geese,then the train,tempslibres
fall clock,the deer by the pond,an hour earlier,tempslibres
morning troubles,it starts with a dead cricket,in the spider web,tempslibres
cotton fields*,the only white left,is the snow,tempslibres
peach moon . . .,the thin slice left,for us,tempslibres
grassy moon,we slip off our shoes,to count the stars,tempslibres
the fish lazily surface,in the pond nearby ~,the sun on my teacup,tempslibres
Parting the fog,blue nose of the ferry,homeward bound,tempslibres
Autumn sky,many layers of clouds,pile of leaves,tempslibres
Autumn sky,shades of pink and purple,field of pumkins,tempslibres
last light,sounds of crows settling,in the tree,tempslibres
chirping birds --,the instant I press,the stop button,tempslibres
plasma tv -,in high resolution,the homeless man's face,tempslibres
the sound of geese,drowned by the sound of the train,this morning,tempslibres
At breakfast,after first sip of coffee,i notice a rainbow,tempslibres
cicadas,at twilight,finally it rains,tempslibres
fading bougainvillea, in the night sky . . .,    mars!,tempslibres
afternoon lull,the traffic island,crowded with pigeons,tempslibres
bike tail lights,a lingering smell,of perfume,tempslibres
quiet lane,after the jasmine,smell of fried onions,tempslibres
gentle,on my window,summer rain,tempslibres
summer's end-,a cool rain slides,down the hollyhocks,tempslibres
summer's end,my hand lingers,in the dry grass,tempslibres
hungry,half of the moon,hidden,tempslibres
rain,another leaf,down,tempslibres
sharia,the sound of one hand,clapping,tempslibres
acorn falls,the sound of rain,continues,tempslibres
First day of autumn,splash of a spawning salmon,another cycle begins,tempslibres
Last day of September,bay and islands in fog,aroma of coffee,tempslibres
First day of October,the morning sun in my eyes,clank of the furnace,tempslibres
A fine mist,covers the tall cedars,foggy glasses,tempslibres
splatting drops . . .,  moments ago they held,      a rainbow,tempslibres
hillside thunder,barely a rainbow in a plume,of smoke,tempslibres
morning camp,only an ember remains,but it's enough,tempslibres
blackout --,how bright Mars shines,this summer night!,tempslibres
rush hour ~,closing the car window,on my hair,tempslibres
black-out--,the holiday glow,of fireflies,tempslibres
black-out--,in my neighbor's house,a room to room glow,tempslibres
warmed-over coffee--,the gray gray sound,of winter rain,tempslibres
the old temple,a snake on the stone step,crawling away,tempslibres
sparrow song--,two ladies on the verandah,just before the rain,tempslibres
summer heat,my air conditioner,sweating,tempslibres
summer's end-,one haiku becomes,another,tempslibres
sunset,the shopkeeper burns incense,to drive out mosquitoes,tempslibres
sudden rain,cows crowd the entrance,to the hotel,tempslibres
opulent temple,pigeons occupy,every niche,tempslibres
Over the bay,August full moon rises,as days shorten,tempslibres
dog days --,the hill carried away,a truck at a time,tempslibres
lingering day --,I study the moss,in a park bench,tempslibres
last straw rejection --,the telemarketer tells me,I'm too old,tempslibres
summer's end,an orange sunset,crayoned on the wall,tempslibres
two moons,on August 27th,Mother's birthdate,tempslibres
Wild fires rage,scent of cedar,fills the air,tempslibres
children dancing,circles in the rain-,autumn leaves,tempslibres
falling leaves-,unpacking winter clothes,from cedar trunks,tempslibres
starless night--,Las Vegas spills,over the desert,tempslibres
garden embrace,the fresh smell of her,sun dried laundry,tempslibres
kitchen embrace,the smell of her hot,apple pie,tempslibres
farewell embrace,a faint essence,of mothballs,tempslibres
fallen tree,the poor woman's axe,gleams brightly,tempslibres
muddy street,the black pig's feet,and tail tip are white,tempslibres
unkempt garden,a hibiscus blooms,amongst the weeds,tempslibres
pleasantly drunk,in the orchard,a flock of waxwings,tempslibres
bonfire's glow,my niece cups her hands,around a firefly,tempslibres
dark,clouds,a pigeon,tempslibres
Twin Towers-,where once two shadows,now only sun,tempslibres
rice seedlings-,each step deeper,in the mud,tempslibres
the moon,in every puddle,the same,tempslibres
the stench,of a dead sheep,in summer,tempslibres
sad words,and tears in my teacup,rainstorm,tempslibres
rainy New York,from the tenth storey window,black umbrellas bloom,tempslibres
rainy Baltimore,umbrella blossoms,in cafe windows,tempslibres
summer wind,the blue jay's reflection,in the birdbath,tempslibres
Memorial Day,a layer of dust,covers his urn,tempslibres
cloudburst,the flies are already,in the house,tempslibres
soft rain,the sound of hammering,from the construction site,tempslibres
sunset --,the day's heat,still in the car,tempslibres
end of the drought --,a mushroom tilts,under the spruce,tempslibres
 day moon -,the girl brushing her hair,smiles suddenly,tempslibres
lifting fog,the face of an old friend,on my morning walk,tempslibres
daybreak ...,still sipping bitter coffee,we rehash last night,tempslibres
cloud shadows --,and eagle picks over,what the tide left,tempslibres
ebb tide --,a photo of a missing girl,flutters in the breeze,tempslibres
first raindrops --,frog bones in,the middle of the path,tempslibres
after the long wait . . .,  two unattended dove eggs,      in summer rain,tempslibres
walking to work -,the blossoms on my street,late this year,tempslibres
morning mist--,a canada goose,asleep on the dock,tempslibres
summer solstice,he remembers,to lift the sea,tempslibres
fresh paint,a white moth circles,the bug light,tempslibres
slow boats --,the wind pushes a butterfly,out to sea,tempslibres
Reading a book,a sudden brightness,the full moon,tempslibres
Falling leaves,I already miss you,This winter,tempslibres
storm warnings . . .,sunday afternoon by the fire,mail from an old friend,tempslibres
Shivering,in the cold spring air.,  Plum blossoms!,tempslibres
it's as if winter,is about to leave,mom,tempslibres
minus forty-six,steam from the coffee,warms my nose,tempslibres
skyscraper,a window-washer squeegees,the thunderhead,tempslibres
High winds,trees down on power lines,no morning coffee,tempslibres
On a grey day,a spot of colour,his red hair,tempslibres
3:00 a.m.--,through sounds of winter rain,the mail plane landing,tempslibres
no wind tonight,across this reach of prairie,all those stars,tempslibres
a dry new year,december snowman begins,to show his age,tempslibres
first snow,the asylum seeker,thoughts on the land,tempslibres
checking dividends,on the cashpoint screen,to and fro...an ant,tempslibres
sunshine and snow,the boys in the reserves,watch the letterbox,tempslibres
rumors of war --,removing decorations,from the Christmas tree,tempslibres
insomnia,the mouse,has it too,tempslibres
stars at dusk,a spray of willow buds,by the gate,tempslibres
untrodden snow --,my breath clouds the way,into the trees,tempslibres
crescent moon --,I follow the trail of,a dragged Christmas tree,tempslibres
fireworks gone,Orion's beauty remains,in the stillness,tempslibres
Mass over--,the rush to be first,out of the lot,tempslibres
her plastic lifelines,in harsh hospital light -,"even fresh flowers, fade",tempslibres
home again,even the ants,seem familiar,tempslibres
along the road,shape of a willow,conforms to the trucks,tempslibres
obituary,a child's face,smiles from the page,tempslibres
new year's day . . .,     spent bottle-rockets,           in the road,tempslibres
wolf prints . . .,  the gas lantern,     splutters,tempslibres
white roads,leading nowhere ><,Happy New Year ?,tempslibres
drinking mulled wine,on the square --,white breaths,tempslibres
first Christmas,a tiny new stocking,joins the family,tempslibres
autumn sun,my shadow over,tombstones,tempslibres
fly fishing;,the sound of the wind,in the reel,tempslibres
mountain cave --,from out of darkness,the morning light,tempslibres
chill night,new fallen pear blossoms,glow in the moonlight,tempslibres
changing winds,bring up your kite,and the Dow,tempslibres
fresh autumn breeze,or the advance of age?,forgotten tea...,tempslibres
60 today,the full moon,still rising,tempslibres
desert garden,frosted lettuce leaves,in the pink dawn,tempslibres
Passover darkness -,before the buds burst open;,a child's eyes in death.,tempslibres
misty morning,echoes of blue jay cries,through the pines,tempslibres
farmer's market,she paints a flower,on a child's cheek,tempslibres
montana morning,the horses with their backs,to blowing snow,tempslibres
street light sway ~,dreams of her linger,with the storm,tempslibres
tandem bicycle,wind in our hair,a shared laugh,tempslibres
fresh brewed coffee,cream and sugar swirls,she stirs in her thoughts,tempslibres
dry haystack,flames climb higher,against the night sky,tempslibres
spring breeze,blowing dandelions,in circles,tempslibres
Sack of cheeries ~,clouds grow dark on the road,to the coast,tempslibres
salmon sunrise,a splash resounds over,the calm bay,tempslibres
road closed,moose tracks continue on,local traffic only,tempslibres
chilled by spring winds,schoolgirls sniffing body spray,behind the gym,tempslibres
needle exchange,sharing a breakfast drink,in Museum Square,tempslibres
mayflowers,three small boys track down,terrorists,tempslibres
boy's bedroom,a blackbird's nest,found deep in the lilac,tempslibres
a lost child,in a ward of iron lungs,her daffodils,tempslibres
teeth in a glass,the nurse takes away his pot,of blue hyacinths,tempslibres
coffee cold,she clips the obituary,from many papers,tempslibres
august wind,on the dock seagulls,stand on two legs,tempslibres
strong winter wind,bits of Batman kite wings,fall from the tree,tempslibres
georgia peach,sweet cream and wrinkle remover,in the shopping cart,tempslibres
a skein of birds,twines across the sky,the northbound train departs,tempslibres
dawn chorus begins,I reach for,the snooze button,tempslibres
late rising moon,fireflies decorate,the tamarind tree,tempslibres
moving day,my life,reduced to boxes,tempslibres
rainstorm,ants drink,from a droplet,tempslibres
meteor watching --,a match lights up,an unknown face,tempslibres
Ancient roman ruins,along both sides of the road,white jet trail above...,tempslibres
Sky dewed with stars,cool air listening in news,a man was hanged.,tempslibres
Country cemetery,snail on corroded tombstone,trails from A to O...,tempslibres
leftover summer grass,... horses browse,through crusted snow,tempslibres
old leather saddle,cherry colored and shiny,smells of horse,tempslibres
dentist's office -,cracks between tiles,filled with dirt,tempslibres
raking the leaves ~,wind blows,the wrong way,tempslibres
hot beach sand...,between my fingers,a cigarette butt,tempslibres
between the second,and the third line -,short trip to bathroom,tempslibres
stupid arab -,he only wants to learn,to fly straight,tempslibres
egret stands,"in the blue rice field,",dusk creeps in,tempslibres
long centipede,on the ceiling- long talks,of what to do,tempslibres
white clouds drift,"in the August sky,",a child dreams,tempslibres
desire,the honey,inside me,tempslibres
Post Office --,stamped on the sidewalk,pink blossoms,tempslibres
straw hat -,flowers fading,under the sun,tempslibres
voices of loons,cross the misted cove,call and response,tempslibres
rainy day--,they give me back,my shoelaces,tempslibres
dusk--,the space between us,filling with snow,tempslibres
fragile morning--,a blue psilocybin in the middle,of the garden,tempslibres
Talking with you,now this morning somehow,scent of plumeria,tempslibres
Red as the poppy,maple leaves fall,on the memorial,tempslibres
First day of Autumn,even your touch feels,somewhat cooler,tempslibres
At last some sunshine,blue Pacifc this morning,boiling tea water,tempslibres
In the room,white lillies in the vase,scent of pepper,tempslibres
Light-studded ferry,passes in the starless night,another week-end,tempslibres
The sunrise,fresh salmon on ice,so very pink,tempslibres
A tunnel of fog,connects the two islands,warmth of my duvet,tempslibres
October morning,a new pair of new wool socks,on my very cold feet,tempslibres
Last night of Summer,the bright full moon of last night,hidden by a cloud,tempslibres
All my lights off,to watch the rising,of the Harvest moon,tempslibres
In this desert,a memory of blue sea --,shells in the sand,tempslibres
Federal Express,reaches me through the fog,plumeria lei,tempslibres
Midnight and full moon,my neighbour asks to borrow,the vacum cleaner,tempslibres
The blue iris,colour changing hue,soft Summer rain,tempslibres
A sea change,the weather turns cool,hot rum and lemon,tempslibres
moldy odors,in the nursing home,dying elders,tempslibres
february 15th,a broken heart,in the cookie box,tempslibres
smell of newsprint,twenty beauty queens,with one smile,tempslibres
gust of wind,a womans face lights up,by the cooking fire,tempslibres
rice-green pond,dark herons stand,in an arc,tempslibres
midnight,the moon dances,in my teacup,tempslibres
burnt-down house,yellow elders bloom,in the garden,tempslibres
waiting for moonrise,the moving red dot,becomes a plane,tempslibres
cool morning,a fog of insecticide,in the red truck's wake,tempslibres
harsh sunlight,faces peep through the bars,of the police van,tempslibres
moonrise,a woman croons,to her baby,tempslibres
burnt house,the owners name,on the iron gate,tempslibres
petrol fumes,smell of fresh bread,from the bakery,tempslibres
clacking rails,five languages,in the compartment,tempslibres
small talk,sixteen ants on the wall...,seventeen...,tempslibres
flight of egrets,a boy stands with his ear,to a telephone pole,tempslibres
last station,the king of hearts on the floor,of the compartment,tempslibres
sultry afternoon,little mirages,above the tar,tempslibres
melting tar,silk cotton drifts,across the road,tempslibres
smoky moon,a cloud of insects around,the street light,tempslibres
crystal morning,dried puke,on the car door,tempslibres
a bullock cart,loaded high with shoe boxes,the drivers cracked feet,tempslibres
empty street,the For Sale sign,overgrown with weeds,tempslibres
tree less corners,the tall shadows,of beer bottles,tempslibres
faded asters,the cortege pauses at her gate,moves on,tempslibres
biopsy,just a cyst - this time,a break in the clouds,tempslibres
plastic flowers,placed beside the highway,memory fades,tempslibres
troubled sleep --,steam rises,from a storm sewer,tempslibres
Wall Street watch --,the unnerving plunge,of her neckline,tempslibres
my daughter's 18th birthday --,the warming sunshine,in her hair,tempslibres
orthopedist's office --,all paintings tilted,slightly off center,tempslibres
stood up,by a part-time lover --,shooting star,tempslibres
english newspaper,a lot of starving people,between fish & chips,tempslibres
five star hotel -,a cockroach scurries,pool-side,tempslibres
his old hands,working the soil -,smell of brewed tea::    ses vieilles mains,tempslibres
forty-six years,writing my name,yellow in snow,tempslibres
at the memorial,a hawk's cry,scatters her ashes,tempslibres
hawk's hover -,the view of calm seas,through a gunport,tempslibres
mothers' day,I let the phone ring longer,for her,tempslibres
mid October,the sudden thinness,of my robe,tempslibres
wood flute music,through an open window,the crow's rasp,tempslibres
scenting two pages,of the Webster's Unabridged . . .,wild lilac,tempslibres
Valentine's dinner--,nothing on the menu,suits him,tempslibres
"from the armoire,",scent of passion in a candle,yet to be burned,tempslibres
stroke of  . . .,his snoring punctuated,by fireworks,tempslibres
a new year's bonfire,misty rain,on the embers,tempslibres
typhoon warning,a farmer on the path,between the rice fields,tempslibres
the farmer lady,a few daffodils in a basket,of white radish,tempslibres
March wind,a strawberry off,from my birthday cake,tempslibres
just extinguished-,smoke slowly curls,out pumpkin eyes,tempslibres
afternoon rain-,a neighbor opening her curtains,too,tempslibres
New-York September,the one-way sign points towards,the billowing cloud,tempslibres
Full moon night -,the shape of the mannequins' breasts,in the shop-window,tempslibres
inhaling spring -,her new breast,two months old,tempslibres
requiem mass -,flecks of dust drift,in stifling air,tempslibres
morning rush,he finds a half red kiss,on his coffee cup,tempslibres
tense meeting --,my chewing gum,out of flavor,tempslibres
puddle,from last nights rain,reflects the clouds,tempslibres
cold snap -,more than my prints,on the camera,tempslibres
Day of the Oscars-,in the Spring sun,I plant onions...,tempslibres
yellow walnut leaves,slowly appear on the lawn--,early morning light,tempslibres
morning commute-,headlights fade,in the whiteout,tempslibres
solitary walk -,at nightfall the flash,of distant fireworks,tempslibres
sunlit helmet,the young soldier's eyes,invisible,tempslibres
sunday lunch,the chatter of children,among hard drinkers,tempslibres
eclipse,the path of the sun,blocked by billboards,tempslibres
harvest moon,i gather my thoughts,for winter,tempslibres
night of meteorites --,enjoying the sound of rain,instead,tempslibres
driving home,full moon,dancing in puddles,tempslibres
late summer,graffiti overgrown,with ivy,tempslibres
meditation room--,books of wisdom,lean left . . . and right,tempslibres
turning north--,sand from both oceans,in little jars,tempslibres
cool morning--,at the top of the rise,deer pass in the fog,tempslibres
sipping fresh cider--,both dippers,among the far stars,tempslibres
Sentinels of spring...,kites bobbing for attention,in saucy March winds,tempslibres
three days,of cold autumn rain --,a dull ache,tempslibres
waiting,for my illness to end --,November rain,tempslibres
my body,aching and feverish,after nightfall --,tempslibres
"thank you, mango---",for a moment i was,somewhere else,tempslibres
amber leaves,caught between 'for sale',and 'sold',tempslibres
season of mists. . .,a calling of wild geese,arrows south,tempslibres
old manor house,each empty room has,its own echo,tempslibres
hugs --,the spider on my,old friend's arm,tempslibres
spray painted log --,I try not to sit,on the word f***,tempslibres
between the yoga,and chi gung classes --,scent of burning sage,tempslibres
a few yellow leaves --,the construction site grows,towards my favorite tree,tempslibres
horizonless --,sky-colored ice,turns in the bay,tempslibres
week of rain --,the insect's trail,on the flattened leaf,tempslibres
noon glare --,the wind blows sand,out to sea,tempslibres
